ids,matching_trend,list_of_tweets,imgs,tweet_urls,users,has_image
LanaA1,Lana,think Lana’s post would have been fine if she hadn’t compared herself to a group of mostly black women with the clear tone that she thinks she’s been treated worse by the media when that’s observably untrue,null,https://twitter.com/user/status/1263393209801203712,shonfaye,False
LanaA2,Lana,Lana's next album is gonna be lit ,http://pbs.twimg.com/media/EYin0ViWkAAMd54.jpg,https://twitter.com/user/status/1263444333325422595,SaintHoax,True
LanaA3,Lana,"The Karen JUMPED Out: Lana Del Rey Calls The Manager On Beyonce, Nicki Minaj And More...Gets Miracle Whipped To Saltine Smithereens

[Getty]

https://t.co/uNaA9ioHNN ",http://pbs.twimg.com/media/EYi7rK6WoAAQQ9C.jpg,https://twitter.com/user/status/1263466149381132291,Bossip,True
LanaA4,Lana,Lana Del Rey is fired up for her next album ,null,https://twitter.com/user/status/1263411743914631169,billboard,False
LanaA5,Lana,Lana realllly didn’t have to mention any of them to get her point across. Quarantine is really getting to these celebs ,null,https://twitter.com/user/status/1263432812486709248,Phil_Lewis_,False
ThursdayThoughtsB6,ThursdayThoughts,"🔁RT of #SidharthShukla,❤️LIKE for #AsimRiaz!
#BB13onJioCinema!

#ShehnaazGill #RashamiDesai #MahiraSharma #Sidnaaz #ParasChhabra #ThursdayThoughts #SalmanKhan #BiggBoss13 ",http://pbs.twimg.com/media/EYhX9gMUMAABhrP.jpg,https://twitter.com/user/status/1263357500662747136,JioCinema,True
ThursdayThoughtsB7,ThursdayThoughts,"One of the coolest moments of my life was when I asked @realDonaldTrump a question at the White House. 

I still haven’t met him, but we did lock eyes for 2.3 seconds.
#ThursdayThoughts ",http://pbs.twimg.com/ext_tw_video_thumb/1263483337848602626/pu/img/QhCzuw8CF286TEIB.jpg,https://twitter.com/user/status/1263483361026363392,ScottPresler,True
ThursdayThoughtsB8,ThursdayThoughts,"TONIGHT!

2 X Ultra bright Space Station passes over the UK.

HTV Supply Ship chasing the ISS.

A bright Starlink pass.

Conjunction of Venus and Mercury and more.

THE SKY IS ALIVE!

Follow @VirtualAstro for Alerts.
Visit https://t.co/NijA0nWbHJ for ISS info.

#ThursdayThoughts ",http://pbs.twimg.com/media/EYijOLDXkAIA2QC.jpg,https://twitter.com/user/status/1263439160616026112,VirtualAstro,True
ThursdayThoughtsB9,ThursdayThoughts,"Do you know why there is a gap between fingers? So that someone special comes and fills those gaps by holding your hand forever.
#ThursdayThoughts",null,https://twitter.com/user/status/1263324925642903552,hvgoenka,False
ThursdayThoughtsB10,ThursdayThoughts,"🏡 COMPETITION TIME 🏡#ThursdayThoughts

Fancy winning 100 #boohoo dollars? #WIN 💸

1. Follow us 🤳🏽
2. Like this tweet 💖
3. Guess the movie title and; include #boohoointhehouse with your answer 🏡

📝 https://t.co/kQ0sIlscXn ",http://pbs.twimg.com/ext_tw_video_thumb/1263424793975676928/pu/img/m11J07qN8n3Xgvvy.jpg,https://twitter.com/user/status/1263424922342379520,boohoo,True
